iter	MultiClass
0	5.485012646
1	5.3777023
2	5.292635569
3	5.116958281
4	5.007236853
5	4.912517626
6	4.842864379
7	4.775285871
8	4.686559696
9	4.636131858
10	4.591311189
11	4.545180058
12	4.497499848
13	4.460155341
14	4.41785038
15	4.360762577
16	4.301610138
17	4.24720261
18	4.22179016
19	4.198584458
20	4.17331103
21	4.143907402
22	4.089595941
23	4.056013219
24	4.027507877
25	3.997793807
26	3.980655671
27	3.96748407
28	3.953356505
29	3.924882061
30	3.898330176
31	3.871236071
32	3.845295071
33	3.831729026
34	3.809665584
35	3.785950525
36	3.76053483
37	3.736629545
38	3.719120134
39	3.694866481
40	3.680040715
41	3.662727526
42	3.646882973
43	3.636004404
44	3.619871981
45	3.605703509
46	3.594588505
47	3.582222449
48	3.563869733
49	3.549917656
50	3.533074703
51	3.515258629
52	3.499885042
53	3.48339551
54	3.470353947
55	3.452487957
56	3.433477989
57	3.424537104
58	3.408147301
59	3.396147308
60	3.377249987
61	3.363827408
62	3.355242334
63	3.335121499
64	3.319772983
65	3.302121261
66	3.28815395
67	3.272323597
68	3.25615945
69	3.24562704
70	3.235939805
71	3.222706465
72	3.218205601
73	3.207336649
74	3.193838829
75	3.182590801
76	3.175527154
77	3.167236317
78	3.156495175
79	3.146411343
80	3.134350795
81	3.125697936
82	3.117024236
83	3.108214036
84	3.091398697
85	3.082220991
86	3.071366439
87	3.065204312
88	3.056027614
89	3.048277619
90	3.041044961
91	3.032759873
92	3.022857409
93	3.011767096
94	3.002501451
95	2.993384751
96	2.983188385
97	2.972506455
98	2.965695873
99	2.959540212
100	2.95377301
101	2.945330001
102	2.937133226
103	2.926692524
104	2.920980243
105	2.913973288
106	2.905187969
107	2.898728928
108	2.893348063
109	2.885920063
110	2.878332107
111	2.874306241
112	2.868039407
113	2.862161018
114	2.858170216
115	2.8512576
116	2.844360522
117	2.838720898
118	2.832629622
119	2.825927916
120	2.821867496
121	2.815723877
122	2.812482882
123	2.806397069
124	2.800729368
125	2.796608654
126	2.791868167
127	2.787157319
128	2.777824931
129	2.77305334
130	2.766425537
131	2.755946478
132	2.748015158
133	2.739351288
134	2.733452276
135	2.726393148
136	2.720768676
137	2.715562194
138	2.707985711
139	2.704340168
140	2.699016578
141	2.690352973
142	2.686134223
143	2.68323024
144	2.674835048
145	2.66809963
146	2.664944431
147	2.659549603
148	2.653014146
149	2.647444967
150	2.640631761
151	2.640448317
152	2.632743507
153	2.62851172
154	2.621278457
155	2.612857284
156	2.607600574
157	2.60140201
158	2.595243979
159	2.59017297
160	2.586728566
161	2.581588647
162	2.578895044
163	2.573291865
164	2.569146552
165	2.566480742
166	2.557205014
167	2.551140589
168	2.5449336
169	2.541513932
170	2.534485921
171	2.531085475
172	2.527542592
173	2.521945862
174	2.520879323
175	2.516392469
176	2.511957605
177	2.506819543
178	2.502796435
179	2.498533069
180	2.497706712
181	2.493304422
182	2.485395698
183	2.480215525
184	2.475987864
185	2.47007615
186	2.464641326
187	2.457640731
188	2.454386488
189	2.44933343
190	2.444623543
191	2.439253647
192	2.432087292
193	2.428695663
194	2.423439742
195	2.417137015
196	2.409590981
197	2.405248208
198	2.401148159
199	2.395271446
200	2.38935569
201	2.384047891
202	2.379834747
203	2.37375415
204	2.369197649
205	2.366051191
206	2.362900691
207	2.358114601
208	2.354313555
209	2.350367174
210	2.347670968
211	2.340596963
212	2.337404722
213	2.332022718
214	2.327892395
215	2.320734632
216	2.315580945
217	2.312601787
218	2.309516878
219	2.306317963
220	2.301820581
221	2.301442823
222	2.298002233
223	2.292494255
224	2.288987191
225	2.283157634
226	2.279965398
227	2.276810918
228	2.273311277
229	2.267639148
230	2.26257401
231	2.257697413
232	2.250495386
233	2.24728318
234	2.241400713
235	2.237120813
236	2.231446477
237	2.228005456
238	2.222918315
239	2.218370783
240	2.214750792
241	2.209825054
242	2.207272296
243	2.201152455
244	2.198667483
245	2.192927499
246	2.186129607
247	2.182640271
248	2.179540246
249	2.174816214
250	2.17202294
251	2.16580346
252	2.162121783
253	2.157456874
254	2.152277433
255	2.14773522
256	2.144139758
257	2.139743429
258	2.136603028
259	2.134530108
260	2.130604709
261	2.12743903
262	2.123542473
263	2.121076076
264	2.118126197
265	2.114743288
266	2.111258086
267	2.106908993
268	2.102776443
269	2.101001429
270	2.099881266
271	2.098108431
272	2.094108844
273	2.089423527
274	2.084890261
275	2.081213538
276	2.07692328
277	2.071949788
278	2.068207872
279	2.065736588
280	2.061150588
281	2.056484364
282	2.053598801
283	2.04975274
284	2.047667693
285	2.042128003
286	2.038690276
287	2.03588536
288	2.032533521
289	2.029143616
290	2.024398469
291	2.020077089
292	2.017168021
293	2.012656638
294	2.007671431
295	2.002832159
296	1.997900382
297	1.99403157
298	1.990824292
299	1.986661341
300	1.985048772
301	1.980796985
302	1.975907185
303	1.974048473
304	1.971188678
305	1.969111439
306	1.966191413
307	1.962140264
308	1.959260372
309	1.954442375
310	1.951054827
311	1.946175495
312	1.943758389
313	1.940240812
314	1.935929893
315	1.931350841
316	1.927002948
317	1.922019009
318	1.917505788
319	1.913078222
320	1.909267023
321	1.906866967
322	1.904773437
323	1.900618125
324	1.89695274
325	1.892777444
326	1.88862939
327	1.885893549
328	1.883470663
329	1.882485115
330	1.879358264
331	1.875289163
332	1.871969634
333	1.86876854
334	1.865142709
335	1.861972485
336	1.858510727
337	1.854673088
338	1.851330648
339	1.848854114
340	1.845717476
341	1.843313639
342	1.838866592
343	1.834352395
344	1.830470542
345	1.826285606
346	1.822840138
347	1.818967528
348	1.814319107
349	1.809338434
350	1.804885924
351	1.801192492
352	1.796461819
353	1.793206702
354	1.78824627
355	1.786426413
356	1.783346037
357	1.780564406
358	1.776576291
359	1.774456028
360	1.770886791
361	1.767904958
362	1.763824725
363	1.761279665
364	1.759554572
365	1.755830282
366	1.753384512
367	1.748548539
368	1.744851757
369	1.742727896
370	1.739413261
371	1.737670936
372	1.733715391
373	1.730721027
374	1.726495779
375	1.723717215
376	1.720065518
